"","sd_genes","means_genes","rsd_genes"
"FKBP4",0.126736441881591,0.271260752558456,0.46721260147754
"TMEM132A",0.133854906496421,0.242634880590717,0.551672151054863
"ANLN",0.0380714595035387,0.0815989330516927,0.466568104259654
"DEPDC1B",0.0107773795915882,0.0298827739283359,0.360655259696916
"RAD51",0.0389250644336668,0.0784731487843016,0.496030362444863
"POLQ",0.0103912551146995,0.108280104782103,0.0959664301730253
"MCM10",0.0180670073559391,0.151786855680191,0.119028800451638
"ASPM",0.0348647003756678,0.0572027155241486,0.609493798610826
"PRR11",0.0727948515801101,0.133240921625056,0.546340048479679
"PITX1",0.112874632094536,0.264788572834739,0.42628211212492
"TRIP13",0.157215068449868,0.260714460099298,0.60301629756167
"MCM2",0.125007254677211,0.222253658650112,0.562453079226953
"GTSE1",0.120609285743075,0.199451844853777,0.604703786177043
"WDR62",0.0131252902179439,0.106384666747629,0.123375770392555
"SPAG5",0.0145104203474166,0.0383487988525714,0.378380047917555
"UBE2T",0.0694460104703109,0.134060679731878,0.518019232851896
"PAFAH1B3",0.125091141860521,0.241929989457619,0.51705512880384
"NDC80",0.0434108849685551,0.0783609203805592,0.553986410033604
"IGSF9",0.129918840730143,0.243500163005682,0.533547243363085
"ORC1",0.0673795587901629,0.124938521824806,0.539301712602661
"RAD54L",0.0414513106259272,0.094394564590335,0.439128151136908
"AURKA",0.0111047168726497,0.0273580023162262,0.405903791669153
"TPX2",0.00989419596776981,0.0327339501506609,0.302260983542497
"BIRC5",0.0391837203847397,0.460243118669313,0.0851370043250844
"KIF4A",0.156819507522324,0.263744762711617,0.594588138585308
"ORC6",0.0338385507302218,0.063651267632664,0.531624144950364
"CDC45",0.0404726007516282,0.115192649247408,0.351347078273215
"CDC6",0.018446569391374,0.0617376139526279,0.298789801068897
"DSP",0.11411072939354,0.203474721974669,0.560810346789642
"RANBP1",0.0458024431989819,0.285647372096747,0.160346103878978
"POLE2",0.0686474033692951,0.122433776595456,0.560690074897539
"GINS1",0.0158438446199227,0.0923012175862444,0.171653690322325
"MYBL2",0.0641776976771324,0.140186696892091,0.457801625260728
"FERMT1",0.112406292227935,0.353386608230287,0.318083055809191
"CENPI",0.198300023928067,0.566381114409006,0.350117648493602
"RHOV",0.108952555870848,0.204254663075782,0.533415268127437
"OIP5",0.00623456341047356,0.0331501366733717,0.188070519041979
"ESRP1",0.0453976283723513,0.132732172368549,0.34202430022993
"MCM4",0.024074815320565,0.118985560069344,0.202333924440364
"RNASEH2A",0.041633346573358,0.239336283516888,0.173953342809471
"CCNE1",0.0269181388746656,0.27734989149165,0.0970548022567948
"EZH2",0.060533282764393,0.109018056028257,0.555259238421047
"UBE2S",0.1310637952036,0.257177739385254,0.509623404875125
"NCAPG",0.0633095981536966,0.111086571063573,0.569912254447621
"NECTIN1",0.0442231400957048,0.0959018918733899,0.46112896452646
"FOXM1",0.0524907793696127,0.10633735354717,0.493625030326979
"RAD51AP1",0.0471042329098284,0.110878119956535,0.424828928631668
"TIMELESS",0.142552169073602,0.235197930569967,0.606094487005681
"CDCA3",0.0830956688835358,0.280863485892346,0.295857856422768
