"","x"
"FKBP4",1
"TMEM132A",1
"ANLN",1
"DEPDC1B",1
"RAD51",1
"POLQ",1
"MCM10",1
"ASPM",1
"PRR11",1
"PITX1",1
"TRIP13",1
"MCM2",1
"GTSE1",1
"WDR62",1
"SPAG5",1
"UBE2T",1
"PAFAH1B3",1
"NDC80",1
"IGSF9",NA
"ORC1",1
"RAD54L",1
"AURKA",0
"TPX2",1
"BIRC5",2
"KIF4A",1
"ORC6",1
"CDC45",1
"CDC6",1
"DSP",1
"RANBP1",0
"POLE2",1
"GINS1",1
"MYBL2",1
"FERMT1",1
"CENPI",0
"RHOV",1
"OIP5",1
"ESRP1",1
"MCM4",0
"RNASEH2A",1
"CCNE1",1
"EZH2",1
"UBE2S",1
"NCAPG",1
"NECTIN1",1
"FOXM1",1
"RAD51AP1",1
"TIMELESS",1
"CDCA3",1
"PERP",1
"TTK",1
"KIF20A",1
"NUP155",1
"ECT2",0
"CENPA",1
"OTX1",1
"SLC2A1",1
"CDC20",1
"NEK2",1
"CENPF",1
"HELLS",1
"CENPL",1
"NCAPH",1
"ZWINT",1
"STIL",1
"HJURP",1
"CSE1L",1
"C17orf53",1
"MCM8",1
"DLGAP5",1
"AUNIP",0
"PKMYT1",1
"CHTF18",1
"SLC6A8",0
"DUSP9",0
"GINS2",0
"TOP2A",1
"PCNA",0
"FAM83F",1
"CCNB1",1
"CDCA8",1
"PSAT1",1
"TROAP",NA
"ESPL1",NA
"BRIP1",1
"ACTL6A",1
"ARHGEF39",1
"TFAP2A",0
"HMGA1",1
"NUSAP1",1
"KIF23",1
"KNL1",1
"SELENOI",1
"KIF11",1
"CEP55",1
"GPR87",1
"DNA2",1
"CENPE",1
"FANCI",1
"TICRR",1
"CBLC",1
"PLK4",1
"KIF2C",1
"NUF2",1
"EFNA3",1
"ECE2",1
"CCNA2",1
"SKP2",1
"CDCA5",1
"NCAPG2",1
"GINS4",1
"CHEK1",1
"SPC25",1
"CENPH",1
"EME1",1
"ATAD2",0
"BUB1B",1
"CCNB2",1
"FLAD1",0
"TONSL",1
"RECQL4",1
"RACGAP1",0
"SPC24",1
"TEDC2",1
"CIP2A",1
"GMPS",1
"TOPBP1",1
"KIF15",1
"POLR2H",1
"RFC4",1
"MAD2L1",1
"PTTG1",1
"MELK",1
"E2F7",1
"LARGE2",1
"WDR72",1
"PLK1",1
"CDT1",1
"C19orf48",0
"TK1",1
"FAM83B",1
"FEN1",1
"CKAP2L",1
"BUB1",1
"CDK1",1
"CDCA4",1
"MTBP",1
"CKS1B",1
"FBXO45",1
"EXO1",1
"ZWILCH",0
"UBE2C",1
"LMNB2",1
"AURKB",1
"RCC2",1
"SHMT2",1
"B4GALNT4",1
"NXPH4",1
"KPNA2",0
"CHEK2",1
"IQGAP3",1
"KNTC1",1
"PARPBP",1
"FAM131C",1
"KIF18B",1
"SAPCD2",1
"ERCC6L",1
"XRCC2",1
"RAD54B",1
"WDHD1",1
"ARHGAP11A",1
"PRC1",1
"IQANK1",1
"CENPW",1
"SERPINB5",1
"KIFC1",1
"UHRF1",1
