chr,start,end,width,DMR_id,beta_normal,beta_cancer,delta,p.adj,gc.content,no.cpgs.hm450,no.cpgs.genomic,no.cpgs.expected,cpg.ratio,num.changes,feature,f_start,f_end,feature_gene_name,closest_gene_name,closest_distance,gene_start,gene_end,contains.CGI,category,is.hyper,no.atac.peaks,selected
chr1,90723757,90727636,3880,1,0.181134209697582,0.420324531530688,0.239190321833106,0,0.554381443298969,26,202,297.937628865979,0.677994252585213,0,INTER,90719237,90915297,-,BARHL2,6520,90717236,90717237,CGI,CGI-like distal,hyper,0,TRUE
chr13,112053491,112063393,9903,2,0.144004501034819,0.364211659690179,0.22020715865536,0,0.579723316166818,34,595,831.838836716147,0.715282785243454,0,INTER,111344247,112065647,-,SOX1,4254,112067646,112067647,CGI,CGI-like distal,hyper,0,TRUE
chr2,118847865,118859552,11688,3,0.131043027556922,0.306925705379797,0.175882677822875,0,0.567162902121834,53,600,937.58726899384,0.639940429912068,0,INTER,118849678,118940166,-,EN1,187,118847677,118847678,CGI,CGI-like proximal,hyper,1,FALSE
chr7,27143750,27145234,1485,4,0.352279594027834,0.58482804532416,0.232548451296326,0,0.573063973063973,43,96,121.515151515152,0.790024937655857,0,P2000,27143668,27145395,HOXA5,HOXA5,82,27143667,27143668,CGI,CGI-like proximal,hyper,1,FALSE
chr2,176147389,176150397,3009,5,0.28275203089342,0.556560321220706,0.273808290327287,4.15608849186648e-306,0.53871718178797,23,108,217.467597208375,0.496625710618008,0,INTRON,176136999,176151221,HOXD3,HOXD4,825,176151221,176151222,CGI,CGI-like proximal,hyper,0,TRUE
chr6,30127170,30128025,856,6,0.341442440542057,0.584781249421611,0.243338808879554,4.81579920367606e-304,0.603971962616822,30,54,76.9766355140187,0.701511564378073,0,INTER,30115106,30134108,-,TRIM40,8083,30136107,30136108,CGI,CGI-like distal,hyper,0,TRUE
chr1,118983437,118987425,3989,7,0.279545296353403,0.537307350389737,0.257762054036335,3.08498732320296e-280,0.521935322135874,22,194,270.541990473803,0.717079073973862,0,INTRON,118931832,118987590,TBX15,TBX15,380,118987804,118987805,CGI,CGI-like proximal,hyper,0,TRUE
chr4,41876102,41883024,6923,8,0.229940871170873,0.436094046023442,0.206153174852569,1.6158014005175e-272,0.542972699696663,35,321,506.899321103568,0.633261846358666,2,INTER,41750970,41933120,-,TMEM33,52096,41935119,41935120,CGI,CGI-like distal,hyper,2,FALSE
chr13,113472109,113472891,783,9,0.709829208477081,0.890210137017864,0.180380928540783,2.68530405739298e-252,0.541507024265645,9,28,57.3946360153257,0.487850467289719,0,INTRON,113461136,113474123,DCUN1D2,DCUN1D2,11299,113484189,113484190,no CGI,CGI-like distal,hyper,0,FALSE
chr7,27185303,27186710,1408,10,0.192922191017421,0.404166960906167,0.211244769888746,3.39408029695338e-248,0.573153409090909,27,56,115.555397727273,0.484616046514485,0,P2000,27185223,27187223,HOXA11,HOXA11,80,27185222,27185223,CGI,CGI-like proximal,hyper,1,FALSE
