"","chr","start","end","center","width"
"1","chr16",53434489,53435297,53434893,808
"2","chr3",37451927,37453047,37452487,1120
"3","chr3",172039703,172040934,172040318,1231
"4","chr1",90724932,90727247,90726089,2315
"5","chr8",42410918,42411241,42411079,323
"6","chr14",68874710,68875103,68874906,393
"7","chr16",28879633,28880547,28880090,914
"8","chr8",41308333,41309621,41308977,1288
"9","chr1",230425357,230426956,230426156,1599
"10","chr15",22838564,22839134,22838849,570
"11","chr9",137103394,137103596,137103495,202
"12","chr19",54189178,54191646,54190412,2468
"13","chr6",25278903,25279662,25279282,759
"14","chr3",129183291,129184135,129183713,844
"15","chr12",123601670,123602468,123602069,798
"16","chr2",23690438,23690699,23690568,261
"17","chr4",153683934,153684900,153684417,966
"18","chr15",59437871,59438539,59438205,668
"19","chr11",2699180,2700857,2700018,1677
"20","chr8",48977827,48978315,48978071,488
"21","chr1",5877097,5877332,5877214,235
"22","chr8",86069424,86069817,86069620,393
"23","chr3",15064785,15065464,15065124,679
"24","chr14",59919553,59920111,59919832,558
"25","chr16",3400716,3401667,3401191,951
"26","chr20",50343627,50343836,50343731,209
"27","chr1",166988983,166989446,166989214,463
"28","chr1",213989165,213989394,213989279,229
"29","chr1",43367143,43367402,43367272,259
"30","chr19",54207238,54207507,54207372,269
"31","chr1",50427796,50428073,50427934,277
"32","chr10",79067007,79070458,79068732,3451
"33","chr1",200042272,200042927,200042599,655
"34","chr1",170661315,170661656,170661485,341
"35","chr2",11343833,11345427,11344630,1594
"36","chr16",89700845,89702474,89701659,1629
"37","chr2",104842715,104845312,104844013,2597
"38","chr2",102736679,102736955,102736817,276
"39","chr12",11648919,11649619,11649269,700
"40","chr14",100708858,100709930,100709394,1072
"41","chr16",46972916,46974118,46973517,1202
"42","chr10",68231136,68231766,68231451,630
"43","chr18",62384636,62385037,62384836,401
"44","chr1",20633371,20634058,20633714,687
"45","chr19",39307146,39308610,39307878,1464
"46","chr21",29018943,29019437,29019190,494
"47","chr17",81702541,81703781,81703161,1240
"48","chr2",237371832,237372126,237371979,294
"49","chr8",19756620,19757796,19757208,1176
"50","chr8",143024258,143024462,143024360,204
"51","chr18",70205285,70206122,70205703,837
"52","chr16",30354885,30355440,30355162,555
"53","chr3",57756198,57757263,57756730,1065
"54","chr10",28668479,28669187,28668833,708
"55","chr8",119416158,119416938,119416548,780
"56","chr2",218033767,218034112,218033939,345
"57","chr4",2261233,2262942,2262087,1709
